name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Brock McGinn",30,F,N,2750000,26,2.960000,0.000000,1.7164000,0.0032,4.480000,9.159600000000001,1.5266000000000002,0.34887140676116957,0.058145234460197814
"Miles Wood",29,F,N,2500000,37,3.440000,0.000000,0.8592000,0.00116,-5.880000,-1.5796400000000004,-0.2632733333333334,-10.390368593238833,-1.7317280988731358
"Wyatt Kaiser",22,D,Y,916667,57,3.536000,0.000000,5.6016000,0.0031000000000000003,1.000000,10.1407,1.6901166666666667,1.3299714067611692,0.22166190112686435
"Erik Brannstrom",25,D,N,900000,28,2.608000,0.180000,2.2976000,0.0009400000000000001,-1.300000,3.7865400000000005,0.63109,-5.024188593238831,-0.8373647655398023
"Jordan Greenway",27,F,N,3000000,34,2.876000,0.000000,1.7312000,0.00516,-5.700000,-1.0876400000000004,-0.1812733333333334,-9.898368593238832,-1.6497280988731358
"Matt Rempe",22,F,Y,820000,42,2.780000,0.000000,0.9708000,0,-13.820000,-10.0692,-1.6782000000000001,-18.87992859323883,-3.1466547655398025
"Luca Del Bel Belluz",21,F,N,859999,15,2.188000,0.180000,0.7456000,0,0.000000,3.1136,0.5189333333333334,-5.697128593238832,-0.949521432206469
"Justin Kirkland",28,F,N,775000,21,2.264000,0.000000,1.0500000,0.002,0.520000,3.836,0.6393333333333333,-4.974728593238831,-0.8291214322064691
"Victor Mancini",22,D,Y,870000,31,2.152000,0.340000,2.3672000,0.0004,-2.120000,2.7396000000000003,0.45660000000000006,-6.071128593238831,-1.0118547655398022
"Jacob Bernard-Docker",24,D,N,805000,40,2.632000,0.000000,3.0720000,0.00014000000000000001,-3.220000,2.4841399999999996,0.41402333333333324,-6.3265885932388315,-1.0544314322064692
"Justin Holl",32,D,Y,3400000,73,2.776000,0.000000,4.6100000,0.0023,-3.520000,3.8683,0.6447166666666667,-4.942428593238832,-0.8237380988731356
