name,age,pos,elc,salary,gp,evo,ppo,evd,shd,pim_dif,goals_attributed,wins_attributed,gaa,waa
"Nikolas Matinpalo",26,D,N,775000,41,1.748000,0.000000,1.7260000,0.00004,-4.880000,-1.4059599999999999,-0.23432666666666666,-10.216688593238832,-1.702781432206469
"Ross Johnston",30,F,Y,1100000,43,1.204000,0.000000,1.2296000,0,-11.280000,-8.8464,-1.4744,-17.65712859323883,-2.9428547655398023
"Zack Ostapchuk",21,F,Y,825000,56,1.476000,0.000000,1.2080000,0.0008399999999999999,-1.880000,0.8048400000000004,0.13414000000000006,-8.005888593238831,-1.3343147655398022
"Ryan Graves",29,D,Y,4500000,61,1.684000,0.000000,4.2300000,0.0031600000000000005,-1.120000,4.79716,0.7995266666666666,-4.013568593238832,-0.6689280988731358
"Rory Kerins",22,F,Y,846667,5,0.708000,0.180000,0.1576000,0,0.640000,1.6856,0.2809333333333333,-7.1251285932388315,-1.187521432206469
"Oliver Moore",19,F,Y,941667,9,1.040000,0.000000,0.0984000,0.00046,-0.720000,0.41886,0.06981,-8.391868593238831,-1.3986447655398024
"Erik Gudbranson",32,D,N,4000000,16,1.072000,0.000000,1.1620000,0.004860000000000001,-1.400000,0.8388599999999999,0.13981,-7.971868593238831,-1.3286447655398024
"Juha Jaaska",26,F,N,850000,18,0.836000,0.000000,0.1880000,0.00026000000000000003,-1.780000,-0.7557400000000001,-0.1259566666666667,-9.566468593238831,-1.594411432206469
"Austin Watson",32,F,N,775000,13,1.408000,0.000000,0.1464000,0,-5.140000,-3.5855999999999995,-0.5975999999999999,-12.396328593238831,-2.0660547655398025
"Nikita Chibrikov",21,F,Y,875833,4,0.896000,0.180000,0.2556000,0,1.280000,2.6116,0.4352666666666667,-6.199128593238831,-1.0331880988731357
"Cameron Lund",20,F,Y,941667,11,0.812000,0.340000,0.0028000,0.000059999999999999995,-0.720000,0.43486,0.07247666666666668,-8.375868593238831,-1.3959780988731356
"Kailer Yamamoto",26,F,N,775000,12,0.608000,0.520000,0.2316000,0,1.240000,2.5995999999999997,0.43326666666666663,-6.211128593238832,-1.0351880988731357
"Valtteri Puustinen",25,F,N,775000,13,0.348000,0.680000,0.2560000,0,-0.720000,0.5640000000000001,0.09400000000000001,-8.246728593238831,-1.3744547655398023
"Marc McLaughlin",25,F,N,775000,14,1.228000,0.000000,0.3472000,0.0001,1.920000,3.4953,0.58255,-5.315428593238831,-0.8859047655398024
"Zack MacEwen",28,F,Y,775000,21,1.436000,0.000000,0.4396000,0,-3.300000,-1.4243999999999999,-0.23739999999999997,-10.235128593238832,-1.7058547655398024
"Walker Duehr",27,F,N,825000,24,1.260000,0.000000,0.7876000,0.00035999999999999997,0.000000,2.0479600000000002,0.3413266666666667,-6.762768593238832,-1.1271280988731356
"Nick Deslauriers",33,F,N,1750000,31,1.420000,0.000000,0.4660000,0,0.220000,2.106,0.351,-6.704728593238832,-1.1174547655398024
"Rutger McGroarty",20,F,Y,950000,8,1.016000,0.000000,0.3048000,0.00046,0.640000,1.9612599999999998,0.32687666666666665,-6.849468593238832,-1.1415780988731357
"Fabian Lysell",21,F,N,863334,12,0.776000,0.340000,0.0740000,0,-0.760000,0.42999999999999994,0.07166666666666666,-8.380728593238832,-1.3967880988731358
"David Jiricek",21,D,Y,918333,12,0.984000,0.000000,0.4248000,0,-0.120000,1.2888000000000002,0.21480000000000002,-7.521928593238831,-1.2536547655398023
"Tyson Barrie",33,D,Y,1250000,13,0.704000,0.360000,0.6400000,0.00004,-0.720000,0.98404,0.16400666666666666,-7.826688593238831,-1.3044480988731357
"Maveric Lamoureux",20,D,Y,886666,15,1.112000,0.000000,0.7032000,0.00146,-10.020000,-8.203339999999999,-1.3672233333333332,-17.014068593238832,-2.8356780988731356
"Andre Lee",24,F,N,775000,19,1.128000,0.000000,0.5544000,0,-0.540000,1.1423999999999999,0.19039999999999999,-7.668328593238831,-1.2780547655398025
"Akil Thomas",24,F,N,775000,25,1.160000,0.000000,0.6888000,0,1.240000,3.0888,0.5148,-5.7219285932388315,-0.9536547655398023
"Owen Pickering",20,D,Y,886667,25,1.080000,0.000000,1.0852000,0.00266,-0.760000,1.4078600000000001,0.23464333333333334,-7.402868593238831,-1.233811432206469
"Marc-Edouard Vlasic",37,D,Y,7000000,27,0.940000,0.000000,2.2816000,0.00146,-0.040000,3.18306,0.5305099999999999,-5.627668593238832,-0.9379447655398024
"Mitchell Stephens",27,F,N,775000,28,1.144000,0.000000,0.1540000,0.00276,-0.760000,0.5407600000000001,0.09012666666666669,-8.269968593238831,-1.3783280988731357
"Elias Pettersson (D)",20,D,Y,838333,28,1.176000,0.000000,0.9988000,0.0005600000000000001,2.960000,5.13536,0.8558933333333334,-3.675368593238831,-0.612561432206469
"Matt Nieto",32,F,Y,900000,32,1.116000,0.180000,1.1196000,0.0040999999999999995,-0.720000,1.6997000000000002,0.2832833333333334,-7.1110285932388315,-1.185171432206469
"Andreas Englund",28,D,N,1000000,35,1.112000,0.000000,2.3232000,0.00106,-5.040000,-1.6037400000000002,-0.26729,-10.414468593238832,-1.7357447655398024
"Dryden Hunt",29,F,N,775000,5,0.740000,0.000000,0.1720000,0,1.280000,2.192,0.36533333333333334,-6.618728593238831,-1.103121432206469
"Spencer Stastney",24,D,N,825000,23,0.900000,0.000000,1.3592000,0.0024000000000000002,-0.720000,1.5416,0.25693333333333335,-7.269128593238832,-1.2115214322064691
"Matthew Kessel",24,D,Y,800000,29,0.932000,0.000000,1.3524000,0.0008399999999999999,-0.840000,1.4452400000000005,0.2408733333333334,-7.365488593238831,-1.2275814322064689
"Kyle Burroughs",29,D,N,1100000,33,0.756000,0.000000,0.8928000,0.00064,-10.700000,-9.050559999999999,-1.5084266666666666,-17.861288593238832,-2.976881432206469
"Pierre Olivier Joseph",25,D,N,775000,47,1.332000,0.000000,1.9104000,0.0019,-11.460000,-8.215700000000002,-1.3692833333333336,-17.026428593238833,-2.837738098873136
"Vincent Desharnais",28,D,N,2000000,51,1.108000,0.000000,4.9068000,0.00294,-7.620000,-1.6022600000000002,-0.26704333333333335,-10.412988593238833,-1.7354980988731357
"Joshua Roy",21,F,N,835000,12,1.024000,0.000000,0.4104000,0,-0.040000,1.3943999999999999,0.23239999999999997,-7.416328593238831,-1.2360547655398024
"Justin Robidas",21,F,Y,825000,2,0.668000,0.000000,0.0128000,0.00044,0.000000,0.68124,0.11353999999999999,-8.12948859323883,-1.3549147655398024
"Ivan Demidov",19,F,Y,940833,2,0.700000,0.000000,0.0128000,0,0.000000,0.7128,0.1188,-8.097928593238832,-1.3496547655398023
"Michael Sgarbossa",32,F,N,775000,3,0.636000,0.000000,0.0844000,0,1.240000,1.9604,0.3267333333333333,-6.850328593238832,-1.141721432206469
"Alex Steeves",25,F,N,775000,7,0.732000,0.000000,0.1036000,0,0.640000,1.4756,0.24593333333333334,-7.3351285932388315,-1.222521432206469
"Ty Smith",24,D,N,775000,8,0.444000,0.340000,0.3128000,0,-1.360000,-0.2632000000000001,-0.043866666666666686,-9.073928593238831,-1.512321432206469
"Kevin Korchinski",20,D,Y,918333,16,0.844000,0.000000,0.7808000,0.00014000000000000001,-1.440000,0.1849400000000001,0.030823333333333352,-8.62578859323883,-1.437631432206469
"Cole Reinhardt",24,F,N,775000,17,0.828000,0.000000,0.0868000,0,-3.820000,-2.9052,-0.48419999999999996,-11.715928593238832,-1.9526547655398023
"John Hayden",29,F,N,775000,20,0.940000,0.000000,1.1576000,0.00016,-7.340000,-5.24224,-0.8737066666666666,-14.05296859323883,-2.3421614322064688
"Nicolas Aube-Kubel",28,F,N,1500000,22,0.908000,0.000000,0.1360000,0,-1.560000,-0.516,-0.08600000000000001,-9.326728593238832,-1.5544547655398024
"Max Jones",26,F,N,1000000,26,0.892000,0.000000,0.3524000,0.00014000000000000001,-4.840000,-3.59546,-0.5992433333333334,-12.40618859323883,-2.0676980988731355
"Luca Cagnoni",20,D,Y,895000,6,0.332000,0.180000,0.4924000,0,-1.440000,-0.4356,-0.0726,-9.246328593238832,-1.5410547655398024
"John Ludvig",24,D,N,775000,8,0.584000,0.000000,0.3184000,0.0005,-1.400000,-0.4971,-0.08285,-9.307828593238831,-1.5513047655398025
"Tyler Johnson",34,F,Y,775000,9,0.316000,0.180000,0.1100000,0.00004,-1.480000,-0.87396,-0.14565999999999998,-9.684688593238832,-1.6141147655398023
"Ben Hutton",31,D,N,975000,11,0.616000,0.000000,1.1440000,0,0.000000,1.76,0.29333333333333333,-7.050728593238832,-1.1751214322064691
"Grant Hutton",29,D,N,775000,13,0.600000,0.000000,0.7372000,0.0019,-1.360000,-0.02090000000000014,-0.003483333333333357,-8.831628593238833,-1.4719380988731356
"Noah Philp",26,F,N,775000,15,0.712000,0.000000,0.4380000,0.00023999999999999998,-0.680000,0.4702399999999999,0.07837333333333331,-8.340488593238831,-1.390081432206469
"Robert Bortuzzo",35,D,N,775000,17,0.568000,0.000000,1.5444000,0.00286,-4.280000,-2.16474,-0.36079,-10.975468593238832,-1.8292447655398023
"Dylan McIlrath",32,D,N,775000,17,0.600000,0.000000,0.8192000,0.00030000000000000003,-2.920000,-1.5005,-0.2500833333333333,-10.311228593238832,-1.7185380988731356
"Mike Reilly",31,D,N,1250000,18,0.936000,0.000000,0.8052000,0.00014000000000000001,0.600000,2.34134,0.39022333333333337,-6.469388593238831,-1.078231432206469
"Oliver Kapanen",21,F,N,925000,18,0.476000,0.180000,0.4204000,0.0005,1.880000,2.9569,0.4928166666666667,-5.853828593238831,-0.9756380988731357
"Brennan Othmann",21,F,Y,863333,22,0.760000,0.000000,0.5212000,0,1.880000,3.1612,0.5268666666666667,-5.6495285932388315,-0.9415880988731357
"Liam O'Brien",30,F,Y,1000000,28,0.984000,0.000000,0.7120000,0,-1.680000,0.016000000000000014,0.002666666666666669,-8.794728593238831,-1.4657880988731358
"Matt Martin",35,F,N,775000,32,0.712000,0.000000,1.1128000,0,1.920000,3.7447999999999997,0.6241333333333333,-5.065928593238832,-0.844321432206469
"Ryan Reaves",37,F,N,1350000,35,0.664000,0.000000,0.4972000,0,-6.320000,-5.1588,-0.8598,-13.969528593238831,-2.3282547655398025
"Keaton Middleton",26,D,N,775000,41,1.144000,0.000000,2.2476000,0.0014399999999999999,-6.320000,-2.9269600000000002,-0.4878266666666667,-11.737688593238833,-1.956281432206469
"Justin Sourdif",22,F,Y,847500,1,0.432000,0.000000,0.0120000,0,0.000000,0.444,0.074,-8.36672859323883,-1.3944547655398023
"John Farinacci",23,F,N,910000,1,0.416000,0.000000,0.0132000,0.00184,0.000000,0.43104000000000003,0.07184,-8.379688593238832,-1.3966147655398025
"Taylor Ward",26,F,N,775000,1,0.064000,0.340000,0.0012000,0,0.000000,0.4052,0.06753333333333333,-8.40552859323883,-1.4009214322064691
"Sam Morton",25,F,N,870000,1,0.416000,0.000000,0.0736000,0.0022400000000000002,0.000000,0.49184,0.08197333333333333,-8.318888593238832,-1.3864814322064691
"Zayne Parekh",18,D,Y,975000,1,0.432000,0.000000,0.0964000,0.000059999999999999995,-0.040000,0.48845999999999995,0.08141,-8.322268593238832,-1.3870447655398024
"Skyler Brind'Amour",25,F,N,775000,2,0.416000,0.000000,0.0244000,0.0070599999999999994,-0.680000,-0.23254000000000002,-0.03875666666666667,-9.043268593238832,-1.5072114322064691
"Wyatt Aamodt",27,D,Y,775000,2,0.448000,0.000000,0.5544000,0.0017000000000000001,0.000000,1.0041,0.16735,-7.806628593238831,-1.3011047655398023
"Dylan Duke",21,F,N,867500,2,0.416000,0.000000,0.0020000,0,0.000000,0.418,0.06966666666666667,-8.392728593238832,-1.3987880988731356
"Parker Ford",24,F,N,867500,3,0.432000,0.000000,0.0740000,0.0004,-0.680000,-0.1736000000000001,-0.02893333333333335,-8.984328593238832,-1.4973880988731356
"Isaak Phillips",23,D,N,775000,3,0.448000,0.000000,0.2412000,0.00064,0.000000,0.68984,0.11497333333333333,-8.120888593238831,-1.353481432206469
"Declan Carlile",24,D,N,775000,3,0.448000,0.000000,0.1444000,0,0.000000,0.5924,0.09873333333333334,-8.218328593238832,-1.369721432206469
"Clark Bishop",28,F,N,775000,6,0.464000,0.000000,0.0992000,0.0009000000000000001,0.640000,1.2041,0.20068333333333332,-7.606628593238831,-1.267771432206469
"Ethan Cardwell",22,F,Y,867500,6,0.480000,0.000000,0.1592000,0.00216,0.600000,1.24136,0.20689333333333335,-7.569368593238831,-1.261561432206469
"Matej Blumel",24,F,N,775000,7,0.560000,0.000000,0.0504000,0,0.640000,1.2504,0.2084,-7.5603285932388316,-1.2600547655398024
"Callahan Burke",27,F,N,775000,7,0.592000,0.000000,0.2040000,0,-0.680000,0.11599999999999999,0.01933333333333333,-8.694728593238832,-1.449121432206469
"Lucas Condotta",27,F,N,775000,7,0.480000,0.000000,0.1600000,0.0005,0.000000,0.6405,0.10675,-8.170228593238832,-1.3617047655398025
"Calum Ritchie",19,F,Y,950000,7,0.576000,0.000000,0.0384000,0,0.000000,0.6144,0.10239999999999999,-8.196328593238832,-1.3660547655398023
"Andreas Athanasiou",30,F,N,4250000,8,0.528000,0.000000,0.3504000,0,0.000000,0.8784,0.1464,-7.932328593238831,-1.3220547655398023
"Tanner Laczynski",27,F,N,775000,8,0.432000,0.000000,0.1692000,0.0002,-1.400000,-0.7986,-0.1331,-9.609328593238832,-1.6015547655398024
"Ryan Leonard",19,F,Y,950000,9,0.672000,0.000000,0.1992000,0.00014000000000000001,0.100000,0.97134,0.16189,-7.839388593238832,-1.3065647655398023
"Joona Koppanen",26,F,N,775000,11,0.560000,0.000000,0.1600000,0.0037000000000000006,0.000000,0.7237,0.12061666666666666,-8.08702859323883,-1.3478380988731358
"Arshdeep Bains",23,F,Y,816667,13,0.528000,0.000000,0.3668000,0,0.000000,0.8948,0.14913333333333334,-7.9159285932388315,-1.319321432206469
"Bokondji Imama",28,F,N,775000,16,0.560000,0.000000,0.4620000,0,-8.920000,-7.898,-1.3163333333333334,-16.70872859323883,-2.7847880988731357
"Patrick Giles",24,F,N,775000,17,0.640000,0.000000,0.3924000,0.0008,0.000000,1.0332,0.1722,-7.777528593238832,-1.2962547655398025
"Michael Callahan",25,D,N,775000,17,0.544000,0.000000,0.6632000,0.0017399999999999998,-1.740000,-0.5310599999999999,-0.08850999999999998,-9.341788593238832,-1.5569647655398025
"Chris Wagner",33,F,N,775000,28,0.864000,0.000000,0.7068000,0.00106,-0.920000,0.65186,0.10864333333333333,-8.158868593238832,-1.359811432206469
"Ville Ottavainen",22,D,Y,867500,1,0.236000,0.000000,0.0612000,0,0.000000,0.2972,0.04953333333333334,-8.513528593238831,-1.418921432206469
"Mike Hardman",25,F,N,775000,2,0.252000,0.000000,0.1816000,0,0.000000,0.4336,0.07226666666666666,-8.377128593238831,-1.3961880988731357
"Matt Kiersted",26,D,N,775000,2,0.220000,0.000000,0.0732000,0.00166,-0.040000,0.25486000000000003,0.04247666666666667,-8.55586859323883,-1.4259780988731356
"Bradly Nadeau",19,F,Y,918333,2,0.348000,0.000000,0.0608000,0,0.000000,0.4088,0.06813333333333334,-8.401928593238832,-1.400321432206469
"Andrew Poturalski",30,F,N,800000,3,0.300000,0.000000,0.2280000,0,-0.680000,-0.15200000000000002,-0.025333333333333336,-8.96272859323883,-1.4937880988731358
"Ian Moore",22,D,Y,925000,3,0.284000,0.000000,0.0724000,0,0.000000,0.3564,0.0594,-8.45432859323883,-1.4090547655398025
"Dakota Mermis",30,D,N,775000,4,0.316000,0.000000,0.2172000,0.00014000000000000001,-0.680000,-0.14666,-0.024443333333333334,-8.957388593238832,-1.4928980988731357
"Matthew Savoie",20,F,Y,886666,4,0.316000,0.000000,0.0132000,0,0.000000,0.3292,0.05486666666666667,-8.481528593238831,-1.4135880988731357
"Chad Ruhwedel",34,D,N,775000,5,0.236000,0.000000,0.3272000,0.00464,0.000000,0.56784,0.09464,-8.242888593238831,-1.3738147655398023
"Ilya Solovyov",24,D,N,775000,5,0.316000,0.000000,0.4488000,0.00484,-0.040000,0.72964,0.12160666666666665,-8.081088593238832,-1.3468480988731357
"Ozzy Wiesblatt",22,F,Y,835833,5,0.284000,0.000000,0.1972000,0.0005600000000000001,0.640000,1.12176,0.18696000000000002,-7.688968593238831,-1.2814947655398023
"Brad Lambert",21,F,Y,886666,5,0.236000,0.000000,0.2420000,0,-0.680000,-0.20200000000000007,-0.03366666666666668,-9.012728593238831,-1.502121432206469
"Justin Hryckowian",23,F,Y,870000,5,0.268000,0.000000,0.0152000,0,0.640000,0.9232,0.15386666666666668,-7.887528593238832,-1.3145880988731358
"Arttu Hyry",23,F,N,870000,5,0.300000,0.000000,0.1816000,0,0.640000,1.1216,0.1869333333333333,-7.689128593238832,-1.281521432206469
"Kevin Gravel",32,D,N,775000,6,0.316000,0.000000,0.5188000,0.0022400000000000002,0.000000,0.83704,0.13950666666666667,-7.9736885932388315,-1.3289480988731357
"Joseph LaBate",31,F,N,775000,6,0.268000,0.000000,0.6776000,0,2.560000,3.5056000000000003,0.5842666666666667,-5.305128593238831,-0.8841880988731357
"Helge Grans",22,D,Y,847500,6,0.300000,0.000000,0.3016000,0.0005600000000000001,-0.680000,-0.07784000000000002,-0.012973333333333337,-8.888568593238832,-1.4814280988731356
"Georgii Merkulov",24,F,N,925000,6,0.332000,0.000000,0.4088000,0.00004,-0.040000,0.70084,0.11680666666666667,-8.109888593238832,-1.3516480988731356
"Matthew Wood",19,F,Y,950000,6,0.348000,0.000000,0.1208000,0,-0.680000,-0.21120000000000005,-0.03520000000000001,-9.021928593238831,-1.5036547655398023
"William Lagesson",28,D,N,775000,7,0.300000,0.000000,0.4104000,0.00076,-0.720000,-0.008839999999999959,-0.0014733333333333265,-8.81956859323883,-1.4699280988731358
"Jaret Anderson-Dolan",25,F,N,775000,7,0.348000,0.000000,0.4052000,0,-1.360000,-0.6068000000000001,-0.10113333333333335,-9.417528593238831,-1.5695880988731357
"Drake Caggiula",30,F,N,775000,7,0.316000,0.000000,0.1832000,0,-0.420000,0.07919999999999999,0.013199999999999998,-8.731528593238831,-1.4552547655398023
"Nolan Foote",24,F,Y,825000,7,0.300000,0.000000,0.0644000,0,0.000000,0.3644,0.060733333333333334,-8.446328593238832,-1.407721432206469
"Samuel Poulin",23,F,Y,775000,7,0.268000,0.000000,0.0160000,0.00035999999999999997,-0.040000,0.24436,0.04072666666666667,-8.566368593238831,-1.4277280988731358
"Isak Rosen",21,F,N,894167,8,0.348000,0.000000,0.0852000,0,0.000000,0.4332,0.0722,-8.377528593238832,-1.3962547655398023
"Angus Crookshank",25,F,N,775000,8,0.364000,0.000000,0.2324000,0,0.640000,1.2364000000000002,0.2060666666666667,-7.574328593238832,-1.2623880988731357
"TJ Tynan",32,F,N,775000,9,0.300000,0.000000,0.2300000,0,-1.360000,-0.8300000000000001,-0.13833333333333334,-9.640728593238832,-1.6067880988731358
"Dominik Shine",31,F,N,775000,9,0.300000,0.000000,0.1744000,0,-3.180000,-2.7056,-0.45093333333333335,-11.516328593238832,-1.9193880988731358
"Josh Brown",30,D,Y,1000000,10,0.364000,0.000000,1.0644000,0.00286,-0.760000,0.67126,0.11187666666666667,-8.139468593238831,-1.3565780988731357
"Brendan Gaunce",30,F,N,775000,12,0.396000,0.000000,0.3792000,0.0009400000000000001,-1.360000,-0.58386,-0.09731000000000001,-9.394588593238831,-1.5657647655398024
"Jeff Malott",28,F,N,775000,12,0.428000,0.000000,0.4156000,0.0001,0.180000,1.0237,0.17061666666666667,-7.787028593238832,-1.2978380988731357
"Danil Gushchin",22,F,Y,828334,12,0.476000,0.000000,0.3264000,0,-0.760000,0.04239999999999999,0.0070666666666666655,-8.76832859323883,-1.4613880988731358
"Ryan Winterton",21,F,Y,828333,12,0.460000,0.000000,0.2360000,0,1.240000,1.936,0.32266666666666666,-6.874728593238832,-1.1457880988731357
"Owen Beck",20,F,Y,853333,12,0.380000,0.000000,0.4652000,0,1.280000,2.1252,0.3542,-6.685528593238832,-1.1142547655398023
"Cale Fleury",26,D,N,800000,14,0.476000,0.000000,1.7040000,0.0017000000000000001,0.640000,2.8217000000000003,0.4702833333333334,-5.989028593238832,-0.998171432206469
"Emil Bemstrom",25,F,N,775000,14,0.428000,0.000000,0.1848000,0,0.640000,1.2528000000000001,0.2088,-7.557928593238831,-1.2596547655398023
"Patrick Brown",32,F,N,800000,15,0.396000,0.000000,0.7144000,0.0017399999999999998,-2.080000,-0.9678599999999999,-0.16130999999999998,-9.778588593238831,-1.6297647655398024
"Ian Mitchell",25,D,N,775000,15,0.380000,0.000000,1.3580000,0.000059999999999999995,0.600000,2.33806,0.38967666666666667,-6.472668593238831,-1.0787780988731357
"Joey Anderson",26,F,Y,800000,18,0.492000,0.000000,0.7604000,0.003,0.640000,1.8954,0.3159,-6.915328593238831,-1.1525547655398023
"Ville Heinola",23,D,Y,800000,18,0.412000,0.000000,1.0352000,0.00030000000000000003,0.560000,2.0075000000000003,0.3345833333333334,-6.803228593238831,-1.133871432206469
"Jack St. Ivany",25,D,N,775000,19,0.412000,0.000000,1.4792000,0.00456,-2.580000,-0.6842400000000002,-0.11404000000000003,-9.494968593238832,-1.5824947655398023
"Jeremy Lauzon",27,D,N,2000000,28,0.620000,0.000000,2.0420000,0.005200000000000001,-6.820000,-4.152800000000001,-0.6921333333333335,-12.963528593238832,-2.160588098873136
"Scott Sabourin",32,F,Y,775000,1,0.000000,0.000000,0.0368000,0,0.000000,0.0368,0.0061333333333333335,-8.773928593238832,-1.462321432206469
"Steven Santini",29,D,N,775000,1,0.016000,0.000000,0.1204000,0,0.000000,0.1364,0.02273333333333333,-8.674328593238831,-1.445721432206469
"Kyle Capobianco",27,D,N,775000,1,0.000000,0.000000,-0.0236000,0,-1.360000,-1.3836000000000002,-0.23060000000000003,-10.194328593238831,-1.6990547655398025
"Julien Gauthier",27,F,Y,787500,1,0.000000,0.000000,0.0008000,0,0.000000,0.0008,0.00013333333333333334,-8.809928593238832,-1.468321432206469
"Rafael Harvey-Pinard",25,F,N,1100000,1,0.000000,0.000000,0.0004000,0,0.000000,0.0004,0.00006666666666666667,-8.81032859323883,-1.4683880988731357
"Adam Ginning",24,D,N,787500,1,0.000000,0.000000,0.0484000,0,0.000000,0.0484,0.008066666666666666,-8.76232859323883,-1.4603880988731357
"Nathan Clurman",26,D,N,775000,1,0.064000,0.000000,0.0004000,0,-0.680000,-0.6156,-0.10260000000000001,-9.426328593238832,-1.5710547655398024
"Grigori Denisenko",24,F,N,775000,1,0.000000,0.000000,0.0020000,0,-0.680000,-0.678,-0.113,-9.488728593238832,-1.5814547655398024
"Samuel Bolduc",24,D,N,800000,1,0.000000,0.000000,-0.0120000,0,0.000000,-0.012,-0.002,-8.822728593238832,-1.4704547655398024
"Cameron Crotty",25,D,N,775000,1,0.000000,0.000000,-0.0120000,0,0.000000,-0.012,-0.002,-8.822728593238832,-1.4704547655398024
"Daniil Misyul",24,D,N,867500,1,0.000000,0.000000,0.0484000,0,0.000000,0.0484,0.008066666666666666,-8.76232859323883,-1.4603880988731357
"Daemon Hunt",22,D,Y,828333,1,0.032000,0.000000,0.1200000,0,0.000000,0.152,0.025333333333333333,-8.658728593238832,-1.443121432206469
"Jack Finley",22,F,Y,797500,1,0.016000,0.000000,0.0124000,0,0.000000,0.0284,0.004733333333333333,-8.782328593238832,-1.463721432206469
"Mason Morelli",28,F,N,775000,1,0.000000,0.000000,-0.0104000,0,0.000000,-0.0104,-0.0017333333333333333,-8.821128593238832,-1.4701880988731357
"Thomas Bordeleau",22,F,Y,874125,1,0.016000,0.000000,0.0000000,0,0.000000,0.016,0.0026666666666666666,-8.794728593238831,-1.4657880988731358
"Jack Williams",22,F,Y,923750,1,0.000000,0.000000,0.0720000,0,0.000000,0.072,0.011999999999999999,-8.738728593238832,-1.4564547655398024
"Carter Mazur",22,F,Y,905833,1,0.000000,0.000000,0.0000000,0,0.000000,0,0,-8.810728593238832,-1.4684547655398024
"Michael Milne",22,F,Y,861667,1,0.000000,0.000000,0.0012000,0,0.000000,0.0012,0.00019999999999999998,-8.80952859323883,-1.4682547655398024
"Owen Sillinger",27,F,N,775000,1,0.000000,0.000000,0.0604000,0.003,-0.680000,-0.6166,-0.10276666666666667,-9.427328593238832,-1.571221432206469
"Jacob Melanson",21,F,N,826111,1,0.000000,0.000000,0.0016000,0,0.640000,0.6416000000000001,0.10693333333333334,-8.169128593238831,-1.361521432206469
"Frederic Brunet",21,D,N,860000,1,0.032000,0.000000,0.2884000,0,0.000000,0.3204,0.0534,-8.490328593238832,-1.4150547655398023
"Ryan Ufko",21,D,Y,925000,1,0.000000,0.000000,0.0004000,0,0.000000,0.0004,0.00006666666666666667,-8.81032859323883,-1.4683880988731357
"Jacob Quillan",22,F,Y,875000,1,0.000000,0.000000,0.0004000,0,0.000000,0.0004,0.00006666666666666667,-8.81032859323883,-1.4683880988731357
"Devin Kaplan",20,F,Y,921667,1,0.000000,0.000000,-0.0116000,0,0.000000,-0.0116,-0.0019333333333333331,-8.822328593238831,-1.4703880988731357
"Hunter Brzustewicz",20,D,Y,950000,1,0.032000,0.000000,0.0244000,0,-0.680000,-0.6236,-0.10393333333333334,-9.434328593238831,-1.5723880988731358
"Aydar Suniev",20,F,Y,923333,1,0.016000,0.000000,0.0240000,0,0.000000,0.04,0.006666666666666667,-8.770728593238832,-1.4617880988731358
"Jani Hakanpaa",32,D,N,1470000,2,0.032000,0.000000,0.2284000,0.0021000000000000003,0.000000,0.2625,0.043750000000000004,-8.548228593238832,-1.4247047655398024
"Robert Hagg",29,D,N,775000,2,0.000000,0.000000,0.1244000,0,0.000000,0.1244,0.020733333333333333,-8.686328593238832,-1.447721432206469
"Alex Barre-Boulet",27,F,N,775000,2,0.000000,0.000000,-0.0232000,0,-0.680000,-0.7032,-0.11720000000000001,-9.513928593238832,-1.5856547655398023
"Hayden Hodgson",28,F,N,775000,2,0.032000,0.000000,0.0388000,0,-1.060000,-0.9892000000000001,-0.1648666666666667,-9.799928593238832,-1.633321432206469
"Jack Ahcan",27,D,N,775000,2,0.016000,0.000000,0.0612000,0.0010400000000000001,-0.680000,-0.6017600000000001,-0.10029333333333335,-9.412488593238832,-1.5687480988731357
"Liam Foudy",24,F,N,775000,2,0.016000,0.000000,0.0480000,0,0.000000,0.064,0.010666666666666666,-8.746728593238831,-1.4577880988731358
"Matthew Robertson",23,D,Y,775000,2,0.032000,0.000000,0.0968000,0.00146,0.000000,0.13026,0.021709999999999997,-8.680468593238832,-1.4467447655398025
"Oskar Olausson",22,F,Y,863334,2,0.048000,0.000000,0.1204000,0,0.000000,0.1684,0.028066666666666667,-8.642328593238831,-1.4403880988731357
"Jan Jenik",24,F,N,775000,2,0.000000,0.000000,-0.0112000,0,0.000000,-0.0112,-0.0018666666666666666,-8.821928593238832,-1.470321432206469
"Ryan Suzuki",23,F,N,775000,2,0.000000,0.000000,0.0128000,0,0.000000,0.0128,0.0021333333333333334,-8.797928593238831,-1.466321432206469
"Jason Polin",25,F,N,775000,2,0.048000,0.000000,0.0604000,0,0.640000,0.7484,0.12473333333333332,-8.062328593238831,-1.343721432206469
"Brian Halonen",25,F,N,775000,2,0.032000,0.000000,0.0488000,0,0.000000,0.0808,0.013466666666666667,-8.729928593238832,-1.4549880988731356
"Josh Dunne",26,F,N,775000,2,0.016000,0.000000,0.0860000,0,0.640000,0.742,0.12366666666666666,-8.06872859323883,-1.3447880988731358
"Domenick Fensore",23,D,N,925000,2,0.080000,0.000000,0.1812000,0.004540000000000001,-0.680000,-0.4142600000000001,-0.06904333333333335,-9.224988593238832,-1.5374980988731357
"Connor Mackey",28,D,N,775000,2,0.016000,0.000000,0.0616000,0.0024000000000000002,0.640000,0.72,0.12,-8.09072859323883,-1.3484547655398025
