Group_1,Group_2,Total_Absolute_Difference
Metallica (Rock),The Cranberries (Rock),11.168999999999999
Mac DeMarco (Alternative),Rex Orange County (Alternative),11.176200000000001
David Bowie (Rock),Metallica (Rock),11.2072
Billy Joel (Pop),The Beatles (Pop),11.244100000000001
Billy Joel (Pop),Wisin & Yandel (Pop),11.250899999999998
Elvis Presley (Pop),Prince (Pop),11.2539
Elton John (Rock),Metallica (Rock),11.273
De La Soul (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),11.2889
Jennifer Lopez (Pop),The Beatles (Pop),11.349499999999999
Bon Jovi (Rock),Lynyrd Skynyrd (Rock),11.353700000000002
Demi Lovato (Pop),Ellie Goulding (Pop),11.3546
Anu Malik (Pop),Britney Spears (Pop),11.3634
Anu Malik (Pop),The Beatles (Pop),11.3908
Aerosmith (Rock),The Rolling Stones (Rock),11.4293
Britney Spears (Pop),Enrique Iglesias (Pop),11.4501
Aerosmith (Rock),Elton John (Rock),11.4572
Bee Gees (Pop),Elvis Presley (Pop),11.463300000000002
Fleetwood Mac (Rock),Tears For Fears (Rock),11.4663
Prince (Pop),The Beatles (Pop),11.469600000000002
Billy Joel (Pop),Elton John (Pop),11.482099999999999
Bon Jovi (Rock),Nirvana (Rock),11.5185
Anu Malik (Pop),Bee Gees (Pop),11.6042
Amy Winehouse (Pop),Anu Malik (Pop),11.608500000000003
Bryan Adams (Rock),Nirvana (Rock),11.612400000000001
5 Seconds of Summer (Pop),Jennifer Lopez (Pop),11.623800000000001
Annie Lennox (Pop),Enrique Iglesias (Pop),11.6298
Bruce Springsteen (Rock),The Cranberries (Rock),11.6528
Jennifer Lopez (Pop),Wisin & Yandel (Pop),11.696100000000001
Bruce Springsteen (Rock),Elvis Presley (Rock),11.712799999999998
Nirvana (Rock),The Cranberries (Rock),11.7278
Aerosmith (Rock),David Bowie (Rock),11.7714
Demi Lovato (Pop),Gwen Stefani (Pop),11.7782
Elton John (Pop),Wisin & Yandel (Pop),11.7838
Britney Spears (Pop),The Beatles (Pop),11.833200000000001
Eagles (Pop),Nelly Furtado (Pop),11.876399999999999
Foreigner (Pop),The Beatles (Pop),11.961199999999998
Elvis Presley (Rock),Nirvana (Rock),11.9664
Billy Joel (Pop),Nelly Furtado (Pop),12.014999999999999
Britney Spears (Pop),Wisin & Yandel (Pop),12.023200000000001
Anu Malik (Pop),Elton John (Pop),12.045599999999999
Céline Dion (Pop),The Beatles (Pop),12.056700000000003
The Rolling Stones (Rock),blink-182 (Rock),12.0648
Elvis Presley (Rock),Lynyrd Skynyrd (Rock),12.074200000000001
Aerosmith (Rock),Fleetwood Mac (Rock),12.1243
Amy Winehouse (Pop),Billy Joel (Pop),12.126800000000001
Britney Spears (Pop),Eagles (Pop),12.127099999999999
Céline Dion (Pop),Pink Floyd (Pop),12.132900000000001
5 Seconds of Summer (Pop),Elton John (Pop),12.140099999999999
Bruce Springsteen (Rock),Pink Floyd (Rock),12.1918
Eagles (Pop),Elvis Presley (Pop),12.197000000000001
Amy Winehouse (Pop),Britney Spears (Pop),12.2129
Bee Gees (Pop),Billy Joel (Pop),12.2169
Amy Winehouse (Pop),Demi Lovato (Pop),12.218
Elvis Presley (Rock),The Cranberries (Rock),12.220400000000001
David Bowie (Pop),Elton John (Pop),12.2319
Christina Aguilera (Pop),Lady Gaga (Pop),12.245900000000002
Bryan Adams (Rock),Metallica (Rock),12.249400000000001
Britney Spears (Pop),Ellie Goulding (Pop),12.2927
Flo Rida (Rap/Hip Hop),Maluma (Rap/Hip Hop),12.306399999999998
Anu Malik (Pop),Céline Dion (Pop),12.3309
Bryan Adams (Rock),Creedence Clearwater Revival (Rock),12.3398
Eagles (Pop),The Beatles (Pop),12.350299999999999
Elvis Presley (Rock),The Rolling Stones (Rock),12.390500000000001
Bee Gees (Pop),Nelly Furtado (Pop),12.4001
Billy Joel (Rock),Lynyrd Skynyrd (Rock),12.429200000000003
AC/DC (Rock),The Rolling Stones (Rock),12.4583
50 Cent (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),12.478499999999999
Ariana Grande (Pop),Elton John (Pop),12.5209
Nirvana (Rock),Tears For Fears (Rock),12.5222
Lynyrd Skynyrd (Rock),The Cranberries (Rock),12.523800000000001
David Bowie (Rock),Scorpions (Rock),12.603900000000001
Elton John (Pop),Pink Floyd (Pop),12.6278
Christina Aguilera (Pop),Mariah Carey (Pop),12.6458
Guns N' Roses (Rock),Nirvana (Rock),12.6524
Amy Winehouse (Pop),Ellie Goulding (Pop),12.668600000000001
Elton John (Rock),Scorpions (Rock),12.711100000000002
Foreigner (Rock),Red Hot Chili Peppers (Rock),12.7165
Flo Rida (Dance),Tiësto (Dance),12.733499999999998
Elton John (Rock),Red Hot Chili Peppers (Rock),12.741499999999998
David Bowie (Rock),Nirvana (Rock),12.778400000000001
Elvis Presley (Pop),Nelly Furtado (Pop),12.790600000000001
AC/DC (Rock),The Beatles (Rock),12.799500000000002
50 Cent (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),12.8057
Bruce Springsteen (Rock),Bryan Adams (Rock),12.8582
Anu Malik (Pop),Jennifer Lopez (Pop),12.8629
Bon Jovi (Rock),Metallica (Rock),12.8689
Anu Malik (Pop),Demi Lovato (Pop),12.881499999999999
Céline Dion (Pop),Nelly Furtado (Pop),12.882
Ellie Goulding (Pop),One Direction (Pop),12.9241
AC/DC (Rock),Scorpions (Rock),12.9463
Billy Joel (Pop),Elvis Presley (Pop),12.9708
Bon Jovi (Rock),The Rolling Stones (Rock),12.9756
Elton John (Pop),Jennifer Lopez (Pop),12.981900000000001
Annie Lennox (Pop),Nelly Furtado (Pop),12.984399999999997
Lynyrd Skynyrd (Rock),Pink Floyd (Rock),13.008799999999999
Guns N' Roses (Rock),Metallica (Rock),13.0654
Nirvana (Rock),The Rolling Stones (Rock),13.0753
Demi Lovato (Pop),Prince (Pop),13.0793
50 Cent (Rap/Hip Hop),Maluma (Rap/Hip Hop),13.0871
AC/DC (Rock),David Bowie (Rock),13.0896
The Neighbourhood (Alternative),beabadoobee (Alternative),13.1058
Lynyrd Skynyrd (Rock),Scorpions (Rock),13.1127
Lynyrd Skynyrd (Rock),Metallica (Rock),13.1366
Anu Malik (Pop),David Bowie (Pop),13.146300000000002
Billy Joel (Pop),Eagles (Pop),13.162800000000002
Foreigner (Pop),Jennifer Lopez (Pop),13.212900000000001
Bee Gees (Pop),Prince (Pop),13.2284
Christina Aguilera (Pop),Ellie Goulding (Pop),13.2343
Bon Jovi (Rock),David Bowie (Rock),13.2343
Ellie Goulding (Pop),Enrique Iglesias (Pop),13.239
Bruce Springsteen (Rock),David Bowie (Rock),13.243600000000002
Foreigner (Rock),Lynyrd Skynyrd (Rock),13.267
Bon Jovi (Rock),Bryan Adams (Rock),13.271899999999999
AC/DC (Rock),Elton John (Rock),13.3038
Christina Aguilera (Pop),Foreigner (Pop),13.3192
Ariana Grande (Pop),David Bowie (Pop),13.337800000000003
Demi Lovato (Pop),Pink Floyd (Pop),13.349299999999998
50 Cent (Rap/Hip Hop),De La Soul (Rap/Hip Hop),13.3494
Metallica (Rock),Scorpions (Rock),13.3705
Bryan Adams (Rock),Fleetwood Mac (Rock),13.386099999999999
Ellie Goulding (Pop),Pink Floyd (Pop),13.4511
Aerosmith (Rock),Bruce Springsteen (Rock),13.4784
David Bowie (Rock),Elton John (Rock),13.4832
Red Hot Chili Peppers (Rock),The Rolling Stones (Rock),13.525400000000001
Elton John (Rock),Guns N' Roses (Rock),13.5394
Lady Gaga (Pop),The Beatles (Pop),13.5405
AC/DC (Rock),Foreigner (Rock),13.558399999999999
Britney Spears (Pop),Demi Lovato (Pop),13.5629
Amy Winehouse (Pop),Nelly Furtado (Pop),13.569400000000002
Billy Joel (Rock),Foreigner (Rock),13.574200000000001
Aerosmith (Rock),The Cranberries (Rock),13.593200000000003
Elton John (Pop),Prince (Pop),13.619399999999999
Bee Gees (Pop),The Beatles (Pop),13.6768
David Guetta (Pop),Demi Lovato (Pop),13.7185
Foreigner (Rock),Nirvana (Rock),13.730599999999999
Black Eyed Peas (Pop),Jennifer Lopez (Pop),13.751999999999999
AC/DC (Rock),Bryan Adams (Rock),13.771600000000001
Eagles (Pop),Jennifer Lopez (Pop),13.789800000000001
AC/DC (Rock),Red Hot Chili Peppers (Rock),13.8009
Britney Spears (Pop),Mariah Carey (Pop),13.827799999999998
Aerosmith (Rock),blink-182 (Rock),13.8439
5 Seconds of Summer (Pop),Billy Joel (Pop),13.847199999999999
50 Cent (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),13.855599999999999
Gorillaz (Pop),Shakira (Pop),13.863399999999999
David Guetta (Dance),Flo Rida (Dance),13.8742
David Bowie (Pop),Nelly Furtado (Pop),13.8898
David Bowie (Rock),Fleetwood Mac (Rock),13.894699999999998
Fleetwood Mac (Rock),Lynyrd Skynyrd (Rock),13.9283
Elton John (Rock),The Rolling Stones (Rock),13.942699999999999
Maroon 5 (Pop),P!nk (Pop),13.946399999999999
Ellie Goulding (Pop),Prince (Pop),13.947900000000002
David Bowie (Rock),blink-182 (Rock),13.9557
Britney Spears (Pop),Elvis Presley (Pop),13.976099999999997
Aerosmith (Rock),Lynyrd Skynyrd (Rock),13.989400000000002
Bryan Adams (Rock),Scorpions (Rock),13.994900000000001
Amy Winehouse (Pop),Elton John (Pop),13.998899999999999
Christina Aguilera (Pop),The Beatles (Pop),14.0548
Foreigner (Pop),Maroon 5 (Pop),14.0568
Britney Spears (Pop),David Bowie (Pop),14.071500000000002
Mac Miller (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),14.0927
David Bowie (Rock),Red Hot Chili Peppers (Rock),14.094500000000002
Billy Joel (Rock),Fleetwood Mac (Rock),14.0971
Metallica (Rock),Red Hot Chili Peppers (Rock),14.098700000000001
Bryan Adams (Rock),Pink Floyd (Rock),14.112399999999997
Eagles (Pop),Ellie Goulding (Pop),14.118000000000002
5 Seconds of Summer (Pop),Mariah Carey (Pop),14.121899999999997
Metallica (Rock),blink-182 (Rock),14.1367
Amy Winehouse (Pop),Gwen Stefani (Pop),14.152000000000001
Black Eyed Peas (Pop),Eagles (Pop),14.201600000000001
Aerosmith (Rock),Bryan Adams (Rock),14.203599999999998
Amy Winehouse (Pop),Elvis Presley (Pop),14.2244
Nirvana (Rock),blink-182 (Rock),14.2341
Elton John (Rock),The Beatles (Rock),14.2787
David Bowie (Pop),James Arthur (Pop),14.2871
Billy Joel (Pop),David Bowie (Pop),14.302999999999999
Enrique Iglesias (Pop),Pink Floyd (Pop),14.329099999999999
David Bowie (Pop),Jennifer Lopez (Pop),14.343399999999999
Mariah Carey (Pop),The Beatles (Pop),14.367599999999998
James Arthur (Pop),Prince (Pop),14.3736
Ariana Grande (Pop),Wisin & Yandel (Pop),14.381099999999998
Nelly Furtado (Pop),Wisin & Yandel (Pop),14.424099999999997
Britney Spears (Pop),Elton John (Pop),14.4374
Lynyrd Skynyrd (Rock),Nirvana (Rock),14.444999999999999
Backstreet Boys (Pop),Mariah Carey (Pop),14.456199999999997
5 Seconds of Summer (Pop),The Beatles (Pop),14.5031
Black Eyed Peas (Pop),Wisin & Yandel (Pop),14.503900000000002
Billy Joel (Pop),Foreigner (Pop),14.5329
Ariana Grande (Pop),Pink Floyd (Pop),14.537900000000002
Sonu Nigam (Films/Games),Zion & Lennox (Films/Games),14.547499999999998
Jennifer Lopez (Pop),P!nk (Pop),14.5549
Bruce Springsteen (Rock),Nirvana (Rock),14.558600000000002
Demi Lovato (Pop),Elvis Presley (Pop),14.587800000000001
Elvis Presley (Indian Music),Shankar Mahadevan (Indian Music),14.588299999999997
Ariana Grande (Pop),Lady Gaga (Pop),14.6018
Bryan Adams (Rock),Red Hot Chili Peppers (Rock),14.6095
Metallica (Rock),Nirvana (Rock),14.6564
Ariana Grande (Pop),Elvis Presley (Pop),14.673000000000002
Billy Joel (Pop),Céline Dion (Pop),14.7156
Black Eyed Peas (Pop),Christina Aguilera (Pop),14.7377
Britney Spears (Pop),Céline Dion (Pop),14.740700000000002
Bruce Springsteen (Rock),Metallica (Rock),14.746200000000002
Billy Joel (Rock),Nirvana (Rock),14.7622
Annie Lennox (Pop),Demi Lovato (Pop),14.765600000000001
Amy Winehouse (Pop),Wisin & Yandel (Pop),14.791500000000001
AC/DC (Rock),Bon Jovi (Rock),14.806699999999998
