Group_1,Group_2,Total_Absolute_Difference
Pink Floyd (Rock),The Rolling Stones (Rock),16.706300000000002
Amy Winehouse (Pop),Foreigner (Pop),16.716700000000003
Ariana Grande (Pop),Diljit Dosanjh (Pop),16.718100000000003
Billy Joel (Rock),Elvis Presley (Rock),16.7604
Elvis Presley (Pop),Lady Gaga (Pop),16.767
Black Eyed Peas (Pop),Elton John (Pop),16.779700000000002
Elton John (Pop),Foreigner (Pop),16.7912
Demi Lovato (Pop),Whitney Houston (Pop),16.806099999999997
John Legend (R&B),Tinashe (R&B),16.810899999999997
5 Seconds of Summer (Pop),Pink Floyd (Pop),16.813499999999998
Ariana Grande (Pop),Foreigner (Pop),16.8137
Elvis Presley (Rock),Foreigner (Rock),16.818
Annie Lennox (Pop),Ellie Goulding (Pop),16.8468
Foreigner (Pop),Wisin & Yandel (Pop),16.8544
David Bowie (Pop),Demi Lovato (Pop),16.855
Prince (R&B),USHER (R&B),16.8586
5 Seconds of Summer (Pop),Prince (Pop),16.862299999999998
Ellie Goulding (Pop),Elvis Presley (Pop),16.869400000000002
David Bowie (Rock),The Beatles (Rock),16.8771
Christina Aguilera (Dance),David Guetta (Dance),16.904300000000003
Elvis Presley (Rock),Scorpions (Rock),16.926499999999997
AC/DC (Rock),Evanescence (Rock),16.962
Avril Lavigne (Pop),Elvis Presley (Pop),16.962699999999998
De La Soul (Rap/Hip Hop),Maluma (Rap/Hip Hop),16.972499999999997
Backstreet Boys (Pop),Britney Spears (Pop),16.980800000000002
Anu Malik (Pop),James Arthur (Pop),16.982
Arcángel (Latin Music),Javed Ali (Latin Music),17.0048
AC/DC (Rock),Lynyrd Skynyrd (Rock),17.014400000000006
Bee Gees (Pop),Metallica (Pop),17.017899999999997
Black Eyed Peas (Pop),Elvis Presley (Pop),17.0638
Mac DeMarco (Alternative),Paramore (Alternative),17.0943
Guns N' Roses (Rock),The Beatles (Rock),17.1025
Christina Aguilera (Pop),Maroon 5 (Pop),17.1134
Britney Spears (Pop),Meghan Trainor (Pop),17.129099999999998
Christina Aguilera (Dance),Tiësto (Dance),17.1332
Demi Lovato (Pop),One Direction (Pop),17.1341
5 Seconds of Summer (Pop),Anu Malik (Pop),17.1499
Billy Joel (Rock),Pink Floyd (Rock),17.1726
Enrique Iglesias (Pop),Whitney Houston (Pop),17.174300000000002
Céline Dion (Pop),Eagles (Pop),17.191399999999998
Amy Winehouse (Pop),Céline Dion (Pop),17.2004
Eagles (Pop),One Direction (Pop),17.2065
Lynyrd Skynyrd (Rock),blink-182 (Rock),17.216900000000003
Britney Spears (Pop),Diljit Dosanjh (Pop),17.218
Elvis Presley (Pop),Foreigner (Pop),17.233500000000003
Elton John (Pop),Lady Gaga (Pop),17.237299999999998
Annie Lennox (Pop),Gwen Stefani (Pop),17.2418
Diljit Dosanjh (Pop),Jennifer Lopez (Pop),17.2431
Red Hot Chili Peppers (Rock),Scorpions (Rock),17.2658
Fleetwood Mac (Rock),The Cranberries (Rock),17.270100000000003
Kings of Leon (Alternative),Red Hot Chili Peppers (Alternative),17.2743
David Bowie (R&B),Prince (R&B),17.2745
Creedence Clearwater Revival (Rock),Evanescence (Rock),17.291600000000003
Creedence Clearwater Revival (Rock),Lynyrd Skynyrd (Rock),17.2928
Maroon 5 (Pop),Prince (Pop),17.293
Christina Aguilera (Pop),Diljit Dosanjh (Pop),17.2934
AC/DC (Rock),Pink Floyd (Rock),17.3146
Black Eyed Peas (Pop),Mariah Carey (Pop),17.3181
Ariana Grande (Pop),P!nk (Pop),17.3303
Dr. Dre (Rap/Hip Hop),Enrique Iglesias (Rap/Hip Hop),17.334600000000002
Elton John (Rock),Foreigner (Rock),17.335
The Beatles (Rock),The Rolling Stones (Rock),17.3366
Maluma (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),17.3589
Christina Aguilera (Pop),Prince (Pop),17.360200000000003
5 Seconds of Summer (Pop),Elvis Presley (Pop),17.365399999999998
David Bowie (Pop),Ellie Goulding (Pop),17.3812
Pink Floyd (Rock),blink-182 (Rock),17.3889
Clean Bandit (Electro),Major Lazer (Electro),17.4024
AC/DC (Rock),Bruce Springsteen (Rock),17.4454
Dr. Dre (Rap/Hip Hop),Maluma (Rap/Hip Hop),17.458
Foreigner (Rock),The Beatles (Rock),17.461299999999998
Mariah Carey (Pop),Wisin & Yandel (Pop),17.4676
Elton John (Rock),blink-182 (Rock),17.473100000000002
Wiz Khalifa (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),17.489700000000003
Elvis Presley (Indian Music),Sonu Nigam (Indian Music),17.4903
"Tyler, The Creator (Rap/Hip Hop)",WizTheMc (Rap/Hip Hop),17.4913
Foster The People (Alternative),Rex Orange County (Alternative),17.495700000000003
Foreigner (Pop),Mariah Carey (Pop),17.503
Bee Gees (Pop),Elton John (Pop),17.505799999999997
Bee Gees (Pop),David Bowie (Pop),17.5063
Amy Winehouse (Pop),Enrique Iglesias (Pop),17.5188
Daniel Caesar (Alternative),Rex Orange County (Alternative),17.5297
Wiz Khalifa (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),17.532799999999998
Bastille (Alternative),The Neighbourhood (Alternative),17.537499999999998
Mac DeMarco (Alternative),beabadoobee (Alternative),17.5439
George Michael (Pop),Nelly Furtado (Pop),17.5568
Amy Winehouse (Pop),Ariana Grande (Pop),17.5574
Bruce Springsteen (Rock),Foreigner (Rock),17.5762
Bob Sinclar (Dance),David Bowie (Dance),17.5987
Anu Malik (Pop),Black Eyed Peas (Pop),17.5995
Bob Sinclar (Dance),Whitney Houston (Dance),17.6066
Billy Joel (Pop),Demi Lovato (Pop),17.607400000000002
Foreigner (Pop),James Arthur (Pop),17.6276
AC/DC (Rock),Fleetwood Mac (Rock),17.6337
Tears For Fears (Rock),The Rolling Stones (Rock),17.6339
Eagles (Pop),Foreigner (Pop),17.637300000000003
Justin Timberlake (Pop),Mariah Carey (Pop),17.644099999999998
Lynyrd Skynyrd (Rock),Tears For Fears (Rock),17.653
Enrique Iglesias (Pop),Wisin & Yandel (Pop),17.6789
Annie Lennox (Pop),Britney Spears (Pop),17.6827
50 Cent (Rap/Hip Hop),Mac Miller (Rap/Hip Hop),17.685299999999998
Billy Joel (Pop),Gorillaz (Pop),17.690199999999997
David Guetta (Pop),Whitney Houston (Pop),17.692
Central Cee (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),17.7102
Creedence Clearwater Revival (Rock),Fleetwood Mac (Rock),17.7189
Black Eyed Peas (Pop),David Bowie (Pop),17.721200000000003
Christina Aguilera (Dance),Mariah Carey (Dance),17.7259
Ariana Grande (Pop),Billy Joel (Pop),17.767599999999998
Bob Sinclar (Dance),David Guetta (Dance),17.767599999999998
Christina Aguilera (Pop),Elton John (Pop),17.7754
Daniel Caesar (Alternative),Nirvana (Alternative),17.7778
Bon Jovi (Rock),blink-182 (Rock),17.7792
Bob Sinclar (Dance),Jennifer Lopez (Dance),17.782200000000003
Billy Joel (Rock),Creedence Clearwater Revival (Rock),17.7846
Mariah Carey (Pop),Pink Floyd (Pop),17.786
Evanescence (Rock),Nirvana (Rock),17.798199999999998
Christina Aguilera (Pop),Wisin & Yandel (Pop),17.803199999999997
Billy Joel (Pop),Enrique Iglesias (Pop),17.8072
AC/DC (Rock),Creedence Clearwater Revival (Rock),17.808400000000002
Bob Sinclar (Dance),Mariah Carey (Dance),17.8124
David Bowie (Pop),Foreigner (Pop),17.8155
Lady Gaga (Pop),Pink Floyd (Pop),17.8249
Fleetwood Mac (Rock),Scorpions (Rock),17.8308
Bryan Adams (Rock),Guns N' Roses (Rock),17.8414
Christina Aguilera (Pop),Enrique Iglesias (Pop),17.8881
David Guetta (Pop),Nelly Furtado (Pop),17.890300000000003
David Bowie (Dance),Tiësto (Dance),17.8986
Metallica (Rock),Pink Floyd (Rock),17.9078
De La Soul (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),17.935599999999997
Céline Dion (Pop),Enrique Iglesias (Pop),17.938599999999997
Céline Dion (Pop),Demi Lovato (Pop),17.9822
Bryson Tiller (R&B),John Legend (R&B),18.0086
Amy Winehouse (Pop),Eagles (Pop),18.011000000000003
Anu Malik (Pop),Mariah Carey (Pop),18.0366
Britney Spears (Pop),Lady Gaga (Pop),18.042700000000004
AC/DC (Rock),Billy Joel (Rock),18.043999999999997
Flo Rida (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),18.0534
5 Seconds of Summer (Pop),Christina Aguilera (Pop),18.0569
Billy Joel (Pop),Shakira (Pop),18.0574
Backstreet Boys (Pop),Bee Gees (Pop),18.0948
Mariah Carey (Dance),The Chainsmokers (Dance),18.1134
Nirvana (Rock),Scorpions (Rock),18.127699999999997
Annie Lennox (Pop),David Guetta (Pop),18.1337
Black Eyed Peas (Pop),Maroon 5 (Pop),18.1383
Scorpions (Rock),The Beatles (Rock),18.143600000000003
Christina Aguilera (Pop),David Bowie (Pop),18.1493
Flo Rida (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),18.1533
Elvis Presley (Rock),Metallica (Rock),18.157799999999998
David Bowie (Dance),David Guetta (Dance),18.177699999999998
Bob Sinclar (Electro),Clean Bandit (Electro),18.1827
James Arthur (Pop),Jennifer Lopez (Pop),18.1921
Elton John (Rock),Lynyrd Skynyrd (Rock),18.197400000000002
Creedence Clearwater Revival (Rock),Tears For Fears (Rock),18.211799999999997
Fall Out Boy (Alternative),Paramore (Alternative),18.2121
Billy Joel (Rock),Metallica (Rock),18.2152
Creedence Clearwater Revival (Rock),The Beatles (Rock),18.2173
Evanescence (Rock),blink-182 (Rock),18.2305
Evanescence (Rock),Fleetwood Mac (Rock),18.2345
Mariah Carey (Dance),Whitney Houston (Dance),18.238599999999998
Bon Jovi (Rock),Guns N' Roses (Rock),18.252100000000002
Demi Lovato (Pop),Meghan Trainor (Pop),18.2686
Backstreet Boys (Pop),Foreigner (Pop),18.287799999999997
Aerosmith (Rock),Tears For Fears (Rock),18.289399999999997
Black Eyed Peas (Pop),Justin Timberlake (Pop),18.305400000000002
David Guetta (Dance),The Chainsmokers (Dance),18.308
Shashwat Sachdev (Films/Games),Zion & Lennox (Films/Games),18.309600000000003
Nirvana (Rock),The Beatles (Rock),18.310899999999997
Fall Out Boy (Alternative),Mac DeMarco (Alternative),18.3188
Daryl Hall & John Oates (Latin Music),Prince Royce (Latin Music),18.345
Gwen Stefani (Pop),Wisin & Yandel (Pop),18.3483
Creedence Clearwater Revival (Rock),The Rolling Stones (Rock),18.3535
Britney Spears (Pop),David Guetta (Pop),18.3718
Elton John (Pop),Nelly Furtado (Pop),18.378300000000003
5 Seconds of Summer (Pop),Backstreet Boys (Pop),18.395699999999998
Metallica (Pop),Prince (Pop),18.425700000000003
Demi Lovato (Pop),The Beatles (Pop),18.4447
Amy Winehouse (R&B),Prince (R&B),18.4671
Backstreet Boys (Pop),Nelly Furtado (Pop),18.4727
Elton John (Rock),Elvis Presley (Rock),18.4822
Creedence Clearwater Revival (Rock),Foreigner (Rock),18.502999999999997
Backstreet Boys (Pop),Jennifer Lopez (Pop),18.5037
Justin Timberlake (Pop),Nelly Furtado (Pop),18.5422
Ariana Grande (Pop),Eagles (Pop),18.547200000000004
Enrique Iglesias (Pop),The Beatles (Pop),18.5501
The Chainsmokers (Dance),Tiësto (Dance),18.5745
Avril Lavigne (Pop),David Bowie (Pop),18.575700000000005
Ellie Goulding (Pop),George Michael (Pop),18.6064
Eagles (Pop),Gwen Stefani (Pop),18.6074
Banda MS de Sergio Lizárraga (Traditional Mexicano),Grupo Firme (Traditional Mexicano),18.610100000000003
Elvis Presley (Pop),Enrique Iglesias (Pop),18.634600000000002
De La Soul (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),18.6373
Elvis Presley (Indian Music),Yo Yo Honey Singh (Indian Music),18.6377
David Guetta (Dance),Mariah Carey (Dance),18.6384
Diljit Dosanjh (Pop),Mariah Carey (Pop),18.651200000000003
Céline Dion (Pop),George Michael (Pop),18.655
Justin Timberlake (Pop),The Beatles (Pop),18.662299999999995
Flo Rida (Rap/Hip Hop),Mac Miller (Rap/Hip Hop),18.6686
Backstreet Boys (Pop),Elton John (Pop),18.6768
Foreigner (Pop),Lady Gaga (Pop),18.6775
Foreigner (Pop),P!nk (Pop),18.680600000000002
James Arthur (Pop),Nelly Furtado (Pop),18.6821
George Michael (Pop),Pink Floyd (Pop),18.6825
Mariah Carey (Pop),Prince (Pop),18.691000000000003
Jennifer Lopez (Pop),Lady Gaga (Pop),18.6984
Rex Orange County (Alternative),The Strokes (Alternative),18.708199999999998
George Michael (Pop),James Arthur (Pop),18.7373
50 Cent (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),18.7444
Flo Rida (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),18.7455
Anu Malik (Pop),Backstreet Boys (Pop),18.776
Black Eyed Peas (Pop),Lady Gaga (Pop),18.7896
Tiësto (Dance),Whitney Houston (Dance),18.8057
Bee Gees (Pop),Foreigner (Pop),18.817799999999995
Billy Joel (Pop),Mariah Carey (Pop),18.820299999999996
Nirvana (Alternative),Rex Orange County (Alternative),18.8315
Christina Aguilera (Pop),Elvis Presley (Pop),18.8439
Eagles (Pop),Lady Gaga (Pop),18.848399999999998
David Bowie (Pop),Lady Gaga (Pop),18.8514
Christina Aguilera (Dance),The Chainsmokers (Dance),18.8683
George Michael (Pop),Whitney Houston (Pop),18.8691
Meghan Trainor (Pop),Whitney Houston (Pop),18.879099999999998
Christina Aguilera (Pop),Justin Timberlake (Pop),18.901300000000003
A.R. Rahman (Films/Games),Shashwat Sachdev (Films/Games),18.922
Ellie Goulding (Pop),The Beatles (Pop),18.922099999999997
Mac Miller (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),18.9242
Bon Jovi (Rock),Elton John (Rock),18.9265
Christina Aguilera (Pop),Demi Lovato (Pop),18.9269
Ellie Goulding (Pop),Foreigner (Pop),18.9359
Diljit Dosanjh (Pop),Prince (Pop),18.939600000000002
David Bowie (Pop),Metallica (Pop),18.949
Banda MS de Sergio Lizárraga (Latin Music),Daryl Hall & John Oates (Latin Music),18.956
Anu Malik (Pop),Ariana Grande (Pop),18.961500000000004
Maroon 5 (Pop),Wisin & Yandel (Pop),18.971000000000004
Elton John (Rock),The Cranberries (Rock),18.9738
Enrique Iglesias (Rap/Hip Hop),Maluma (Rap/Hip Hop),18.9776
Maluma (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",18.991500000000002
Jennifer Lopez (Dance),Tiësto (Dance),18.9931
Gwen Stefani (Pop),Pink Floyd (Pop),18.994699999999998
Annie Lennox (Pop),Prince (Pop),19.0007
Creedence Clearwater Revival (Rock),Elvis Presley (Rock),19.0064
Bee Gees (Pop),Meghan Trainor (Pop),19.0183
Mariah Carey (Pop),P!nk (Pop),19.019599999999997
50 Cent (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",19.032200000000003
David Guetta (Dance),Whitney Houston (Dance),19.035200000000003
5 Seconds of Summer (Pop),Black Eyed Peas (Pop),19.0428
Annie Lennox (Pop),Pink Floyd (Pop),19.049500000000002
5 Seconds of Summer (Pop),Britney Spears (Pop),19.0565
"Tyler, The Creator (Rap/Hip Hop)",Yung Beef (Rap/Hip Hop),19.0676
Amy Winehouse (Pop),One Direction (Pop),19.069699999999997
Enrique Iglesias (Pop),Meghan Trainor (Pop),19.072400000000002
5 Seconds of Summer (Pop),Diljit Dosanjh (Pop),19.0871
Gwen Stefani (Pop),Prince (Pop),19.0921
One Direction (Pop),Wisin & Yandel (Pop),19.0962
Anu Malik (Pop),Maroon 5 (Pop),19.0986
Black Eyed Peas (Pop),Nelly Furtado (Pop),19.1204
Red Hot Chili Peppers (Rock),blink-182 (Rock),19.1224
Fleetwood Mac (Rock),blink-182 (Rock),19.1268
Bizarrap (Rap/Hip Hop),Central Cee (Rap/Hip Hop),19.1278
Avril Lavigne (Pop),Demi Lovato (Pop),19.128500000000003
David Bowie (Rock),Guns N' Roses (Rock),19.131800000000002
Diljit Dosanjh (Pop),Pink Floyd (Pop),19.132000000000005
Anu Malik (Pop),Foreigner (Pop),19.149
Diljit Dosanjh (Pop),Justin Timberlake (Pop),19.162500000000005
Guns N' Roses (Rock),The Rolling Stones (Rock),19.1659
Christina Aguilera (Pop),One Direction (Pop),19.1772
Bee Gees (Pop),Jennifer Lopez (Pop),19.2033
Diljit Dosanjh (Pop),The Beatles (Pop),19.217000000000002
Elton John (Pop),Luis Miguel (Pop),19.233
Clean Bandit (Electro),Martin Garrix (Electro),19.260099999999998
Bruce Springsteen (Rock),Scorpions (Rock),19.2689
Gwen Stefani (Pop),Nelly Furtado (Pop),19.2708
Scorpions (Rock),The Cranberries (Rock),19.2823
Demi Lovato (Pop),George Michael (Pop),19.302000000000003
Lady Gaga (Pop),Prince (Pop),19.3049
Aerosmith (Rock),Creedence Clearwater Revival (Rock),19.3386
Metallica (Pop),The Beatles (Pop),19.340899999999998
Ariana Grande (Pop),Nelly Furtado (Pop),19.394200000000005
Evanescence (Rock),Tears For Fears (Rock),19.398000000000003
Nirvana (Rock),Red Hot Chili Peppers (Rock),19.4297
Fleetwood Mac (Rock),Guns N' Roses (Rock),19.435299999999998
De La Soul (Rap/Hip Hop),Mac Miller (Rap/Hip Hop),19.436900000000005
Prince (R&B),Tinashe (R&B),19.453899999999997
Billy Joel (Pop),Ellie Goulding (Pop),19.4672
Christina Aguilera (Pop),Nelly Furtado (Pop),19.468100000000003
Demi Lovato (Pop),Jennifer Lopez (Pop),19.4868
Lynyrd Skynyrd (Rock),Red Hot Chili Peppers (Rock),19.4923
Elvis Presley (Pop),Mariah Carey (Pop),19.4929
Elton John (Rock),Fleetwood Mac (Rock),19.514099999999996
Bee Gees (Pop),Demi Lovato (Pop),19.5179
Meghan Trainor (Pop),Prince (Pop),19.521099999999997
Metallica (Pop),Pink Floyd (Pop),19.5247
Anu Malik (Pop),Luis Miguel (Pop),19.534399999999998
Fleetwood Mac (Rock),Metallica (Rock),19.5415
Creedence Clearwater Revival (Rock),Guns N' Roses (Rock),19.5858
Bryan Adams (Rock),Evanescence (Rock),19.5862
Flo Rida (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",19.5937
Enrique Iglesias (Pop),Jennifer Lopez (Pop),19.5954
Demi Lovato (Pop),Lady Gaga (Pop),19.5996
De La Soul (Rap/Hip Hop),"Tyler, The Creator (Rap/Hip Hop)",19.621800000000004
Christina Aguilera (Pop),James Arthur (Pop),19.637
The Cranberries (Rock),blink-182 (Rock),19.6463
Justin Timberlake (Pop),Prince (Pop),19.653699999999997
Britney Spears (Pop),Gwen Stefani (Pop),19.660700000000002
Bon Jovi (Rock),Creedence Clearwater Revival (Rock),19.6657
Christina Aguilera (Pop),Eagles (Pop),19.6879
Justin Timberlake (Pop),P!nk (Pop),19.7073
Tears For Fears (Rock),blink-182 (Rock),19.7085
A.R. Rahman (Films/Games),Shankar-Ehsaan-Loy (Films/Games),19.7103
Backstreet Boys (Pop),Prince (Pop),19.7192
Annie Lennox (Pop),George Michael (Pop),19.764599999999998
Mariah Carey (Pop),Nelly Furtado (Pop),19.767500000000002
Enrique Iglesias (Pop),Labrinth (Pop),19.7772
The Beatles (Rock),blink-182 (Rock),19.805200000000003
Avril Lavigne (Pop),Wisin & Yandel (Pop),19.834999999999997
George Michael (Pop),The Beatles (Pop),19.8531
Central Cee (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),19.8553
David Bowie (Pop),Mariah Carey (Pop),19.878899999999998
Billy Joel (Rock),Evanescence (Rock),19.882599999999996
David Guetta (Pop),Elvis Presley (Pop),19.8849
Billy Joel (Rock),System Of A Down (Rock),19.8891
Maluma (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),19.893699999999995
Mac Miller (Rap/Hip Hop),Wiz Khalifa (Rap/Hip Hop),19.9219
Creedence Clearwater Revival (Rock),Scorpions (Rock),19.926099999999998
Amy Winehouse (Pop),David Bowie (Pop),19.9262
The Beatles (Rock),The Cranberries (Rock),19.955099999999995
5 Seconds of Summer (Pop),Eagles (Pop),19.9772
5 Seconds of Summer (Pop),Justin Timberlake (Pop),20.0064
Hozier (Alternative),The Strokes (Alternative),20.013299999999997
Bee Gees (Pop),George Michael (Pop),20.0171
Arcángel (Latin Music),Banda MS de Sergio Lizárraga (Latin Music),20.018199999999997
Bee Gees (Pop),Black Eyed Peas (Pop),20.0255
Meghan Trainor (Pop),Pink Floyd (Pop),20.0273
Arcángel (Latin Music),Daryl Hall & John Oates (Latin Music),20.034200000000002
Red Hot Chili Peppers (Alternative),beabadoobee (Alternative),20.060599999999997
David Bowie (Dance),Flo Rida (Dance),20.067300000000003
Annie Lennox (Pop),Anu Malik (Pop),20.092299999999998
Ariana Grande (Pop),Backstreet Boys (Pop),20.0987
Avril Lavigne (Pop),Céline Dion (Pop),20.1109
Evanescence (Rock),Guns N' Roses (Rock),20.128199999999996
Anu Malik (Pop),Lady Gaga (Pop),20.1297
Fall Out Boy (Alternative),The Strokes (Alternative),20.1428
Anu Malik (Pop),Metallica (Pop),20.153699999999997
Foreigner (Pop),Nelly Furtado (Pop),20.1777
Christina Aguilera (Pop),Labrinth (Pop),20.1791
Foreigner (Pop),Labrinth (Pop),20.1813
Bon Jovi (Rock),Tears For Fears (Rock),20.1971
Scorpions (Rock),Tears For Fears (Rock),20.198299999999996
Jennifer Lopez (Pop),Shakira (Pop),20.1986
Arctic Monkeys (Alternative),Kings of Leon (Alternative),20.2143
Lynyrd Skynyrd (Rock),The Beatles (Rock),20.2395
Lady Gaga (Pop),Nelly Furtado (Pop),20.2406
Amy Winehouse (Pop),Justin Timberlake (Pop),20.249999999999996
Ellie Goulding (Pop),Mariah Carey (Pop),20.250899999999998
Billy Joel (Pop),The Chainsmokers (Pop),20.2687
Annie Lennox (Pop),Eagles (Pop),20.289199999999994
Maroon 5 (Pop),Shakira (Pop),20.3029
Bob Sinclar (Electro),HUGEL (Electro),20.3097
DJ Khaled (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),20.314300000000003
Dr. Dre (Rap/Hip Hop),Flo Rida (Rap/Hip Hop),20.3254
Elton John (Pop),James Arthur (Pop),20.351399999999998
Lana Del Rey (Alternative),Mac DeMarco (Alternative),20.3577
Foreigner (Pop),The Chainsmokers (Pop),20.360599999999998
Céline Dion (Pop),Lady Gaga (Pop),20.377000000000002
Annie Lennox (Pop),The Chainsmokers (Pop),20.3849
AC/DC (Rock),Elvis Presley (Rock),20.406200000000002
Nelly Furtado (Pop),One Direction (Pop),20.4553
50 Cent (Rap/Hip Hop),Central Cee (Rap/Hip Hop),20.4757
Elton John (Pop),Metallica (Pop),20.490300000000005
Bee Gees (Pop),David Guetta (Pop),20.493999999999996
Amy Winehouse (Pop),David Guetta (Pop),20.510700000000003
Maroon 5 (Pop),Pink Floyd (Pop),20.5164
Billy Joel (Pop),Gwen Stefani (Pop),20.5278
George Michael (Pop),Meghan Trainor (Pop),20.5342
Céline Dion (Pop),Lynyrd Skynyrd (Pop),20.5363
Bruce Springsteen (Rock),Evanescence (Rock),20.5692
5 Seconds of Summer (Pop),Foreigner (Pop),20.5711
Amy Winehouse (Pop),Bee Gees (Pop),20.5787
Britney Spears (Pop),One Direction (Pop),20.5968
Demi Lovato (Pop),Elton John (Pop),20.607699999999998
Demi Lovato (Pop),James Arthur (Pop),20.6169
Eagles (Pop),Maroon 5 (Pop),20.6233
Maroon 5 (Pop),Nelly Furtado (Pop),20.634700000000002
AC/DC (Rock),Tears For Fears (Rock),20.641800000000003
Billy Joel (Pop),Christina Aguilera (Pop),20.6447
Elvis Presley (Rock),Red Hot Chili Peppers (Rock),20.648899999999998
Evanescence (Rock),The Beatles (Rock),20.654300000000003
Jennifer Lopez (Pop),Metallica (Pop),20.666600000000003
Foreigner (Rock),Pink Floyd (Rock),20.673399999999997
Bryson Tiller (R&B),USHER (R&B),20.701200000000004
Pink Floyd (Rock),The Cranberries (Rock),20.727999999999994
David Guetta (Pop),Pink Floyd (Pop),20.732800000000005
Diljit Dosanjh (Pop),P!nk (Pop),20.7464
Mariah Carey (Dance),Martin Garrix (Dance),20.7471
Elvis Presley (Pop),Gwen Stefani (Pop),20.7606
Backstreet Boys (Pop),Christina Aguilera (Pop),20.7616
Céline Dion (Pop),Mariah Carey (Pop),20.765300000000003
Backstreet Boys (Pop),Lady Gaga (Pop),20.7655
Anu Malik (Pop),Avril Lavigne (Pop),20.783199999999997
DJ Khaled (Rap/Hip Hop),De La Soul (Rap/Hip Hop),20.7864
5 Seconds of Summer (Pop),P!nk (Pop),20.7877
Enrique Iglesias (Pop),James Arthur (Pop),20.7965
Kings of Leon (Alternative),Nirvana (Alternative),20.822100000000002
David Bowie (Pop),George Michael (Pop),20.846200000000003
David Guetta (Pop),Ellie Goulding (Pop),20.855500000000003
Nicky Jam (Rap/Hip Hop),WizTheMc (Rap/Hip Hop),20.8582
Amy Winehouse (Pop),Backstreet Boys (Pop),20.8641
Evanescence (Rock),Metallica (Rock),20.873999999999995
Backstreet Boys (Pop),Pink Floyd (Pop),20.8748
Tears For Fears (Rock),The Cranberries (Rock),20.925
Elvis Presley (Pop),Metallica (Pop),20.9256
Elvis Presley (Rock),blink-182 (Rock),20.932700000000004
Gwen Stefani (Pop),Lady Gaga (Pop),20.9374
Nirvana (Alternative),beabadoobee (Alternative),20.9482
Daryl Hall & John Oates (Latin Music),Fuerza Regida (Latin Music),20.9637
Mariah Carey (Dance),Tiësto (Dance),20.9703
Enrique Iglesias (Pop),Maroon 5 (Pop),20.977700000000002
Mac DeMarco (Alternative),Panic! At The Disco (Alternative),20.9838
Foreigner (Rock),Guns N' Roses (Rock),21.003
George Michael (Pop),Shawn Mendes (Pop),21.0065
Backstreet Boys (Pop),Wisin & Yandel (Pop),21.0122
JHAYCO (Rap/Hip Hop),Yung Beef (Rap/Hip Hop),21.013
Diljit Dosanjh (Pop),Nelly Furtado (Pop),21.0407
Pink Floyd (Pop),Whitney Houston (Pop),21.097
Shankar-Ehsaan-Loy (Films/Games),Sonu Nigam (Films/Games),21.098000000000003
Shankar-Ehsaan-Loy (Films/Games),Shashwat Sachdev (Films/Games),21.1193
Avril Lavigne (Pop),Eagles (Pop),21.1233
5 Seconds of Summer (Pop),Lady Gaga (Pop),21.139
Foster The People (Alternative),The Neighbourhood (Alternative),21.141799999999996
Bee Gees (Pop),Enrique Iglesias (Pop),21.1477
Mac Miller (Rap/Hip Hop),Maluma (Rap/Hip Hop),21.1524
Bastille (Alternative),Paramore (Alternative),21.1633
Banda MS de Sergio Lizárraga (Latin Music),Fuerza Regida (Latin Music),21.1667
Gorillaz (Pop),Jennifer Lopez (Pop),21.167399999999997
Enrique Iglesias (Pop),George Michael (Pop),21.182199999999998
Justin Timberlake (Pop),Pink Floyd (Pop),21.187499999999996
Prince (Pop),Whitney Houston (Pop),21.192200000000003
Elvis Presley (Rock),The Beatles (Rock),21.2081
Daryl Hall & John Oates (Latin Music),Neton Vega (Latin Music),21.209600000000002
Labrinth (Pop),Maroon 5 (Pop),21.2499
Eagles (Pop),Mariah Carey (Pop),21.2499
Guns N' Roses (Rock),Red Hot Chili Peppers (Rock),21.2521
Avril Lavigne (Pop),Elton John (Pop),21.2564
Billy Joel (Pop),Lady Gaga (Pop),21.2576
Avril Lavigne (Pop),Nelly Furtado (Pop),21.260099999999998
Avril Lavigne (Pop),Pink Floyd (Pop),21.268
Black Eyed Peas (Pop),Enrique Iglesias (Pop),21.2968
Anu Malik (Pop),David Guetta (Pop),21.299
Backstreet Boys (Pop),Gorillaz (Pop),21.308300000000003
Christina Aguilera (Pop),Céline Dion (Pop),21.316100000000002
Creedence Clearwater Revival (Rock),Metallica (Rock),21.3326
